V1,V2,V3,V4,V7,V8,V9,V10,Referer,Source,condition,xicondition,Email_time_1,Email_time_2,Email_time_3,Email_time_4,Previously,Q2,Q89,Q90,Q95,Q92_1,Q92_2,Q92_3,Q92_5,Q92_6,Q92_7,Q92_8,Q94_1,Q94_2,Q94_3,Q94_4,Q94_5,Q94_6,Q94_7,Q94_8,Q94_9,Q3,Q4,Q5,Q6,Q7,Q9,Q10_1,Q10_2,Q10_3,Q10_4,Q17_1,Q18_1,Q19_1,Q20,Q21_1,Q21_2,Q21_3,Q21_4,Q21_5,Q21_6,Q22_1,Q39,Q40_1,Q41_1,Q25,Q26,Q27,Q28,Q43,Q44,Q30,Q31,Q33,Q34,Q42,Q35,Q38,study,lab,share,RO.BR.FL_3,RO.BR.FL_8,LocationLatitude,LocationLongitude,LocationAccuracy,X,Birth.Year,Contact,Country,Education,English,Gender,H.Origins,Hispanic,Housing,Ideo.scale.con,Ideo.scale.ind,Ideo.scale.lib,Ideology,Language,Live.in.US,Marital,Occupation,Party,Party.2,Party.scale.dem,Party.scale.other,Party.scale.other_TEXT,Party.scale.rep,Race,Race_TEXT,Rel.Importance,Religion,Residence,Salary,Zip.Code,Zip.Code.2,Age
R_3KuONBen3EINgQp,null,Anonymous,,0,2/3/21 22:44,2/3/21 22:51,1,,,peoplesdaily,party,1.361,1.361,5.633,1,Yes,1,1,Yes,,White,,,,,,,,,,,,,,,,1,,,,,1,5.593,20.457,21.667,4,40,2,9,Critical threat,Oppose,Support,Support,Oppose,Support,Support,61,Not sure,4,4,Less than 30 minutes,Average familiarity with the news,Sometimes,Somewhat disagree,Newspapers and news magazines,Not very well,1,,1,More likely to support the U.S.,Not sure,No,1,,,Yes,FL_21,FL_15|FL_16,45.52209473,-122.8585052,-1,NA,1988,"Yes, both",United States of America,B.A. or B.S.,Yes,Male,,,Rent,,Lean Conservative,,Neither,,Yes,Married,Manufacturing technician,Other,,,Neither,Libertarian,,White,,Strongly disagree,Atheist,,"$90,000-$99,999",97008,97416,32
R_2CJpsUNrzQx2SqO,null,Anonymous,,0,2/3/21 16:27,2/3/21 16:45,1,,,peoplesdaily,children,0,0,3.588,0,Yes,1,1,Yes,,White,,,,,,,,,,,,,,,,1,,,,,1,6.481,81.604,91.397,8,0,1,10,Critical threat,Support,Support,Support,Support,Oppose,Support,100,Not sure,1,1,More than 2 hours,High familiarity with the news,Sometimes,Somewhat disagree,Blogs and other websites,Extremely well,1,1,,More likely to support the U.S.,More likely to support the U.S.,Yes,1,,,Yes,FL_21,FL_16|FL_15,27.94819641,-82.50360107,-1,NA,1949,Only research participation opportunities,United States of America,High school graduate,Yes,Male,,,Own,Strong Conservative,NA,NA,Conservative,NA,Yes,Married,retired,Republican,,NA,NA,NA,Strong Republican,White,NA,Neither agree nor disagree,None,,"$15,000-$16,999",33629,33629,71
R_2E6wFArynJt13xb,null,Anonymous,,0,2/3/21 16:25,2/3/21 16:38,1,,,nytcw,party,0,0,5.345,0,Yes,1,1,Yes,,White,,,,,,,,,,,,,,,,1,,1,,,,6.794,32.932,37.53,5,10,1,8,Important but not critical threat,,Support,Support,,,,45,China Daily,1,1,30-60 minutes,Average familiarity with the news,About half the time,Somewhat disagree,Newspapers and news magazines,Not very well,1,,1,Not sure,More likely to support the U.S.,Yes,1,"That last question was particularly un-nuanced.  I do not believe that most Chinese American workers are a security risk, but there certainly are individuals, as proven by actual events over the past few years.",,Yes,FL_18,FL_15|FL_16,37.96940613,-86.11129761,-1,NA,1970,"Yes, both",United States of America,Master's,Yes,Male,,,Own,Strong Conservative,,,Conservative,,Yes,Married,Pastor,Republican,,,,,Lean Republican,White,,Strongly agree,Other Christian,,"$60,000-$74,999",40160,53968,50
R_CenesMdpanvAlK9,null,Anonymous,,0,2/3/21 23:06,2/3/21 23:15,1,android-app://com.google.android.gm/,,foxcw,children,4.889,5.943,6.744,2,Yes,1,1,Yes,,White,,,,,,,,,,,,,,,,1,,,1,,,11.462,48.267,49.286,6,29,2,8,Important but not critical threat,Support,Support,Support,Oppose,Oppose,Support,81,Not sure,4,3,Less than 30 minutes,High familiarity with the news,Sometimes,Totally disagree,Radio,Somewhat well,1,1,,More likely to support the U.S.,More likely to support the U.S.,Not sure,1,,,No,FL_19,FL_16|FL_15,41.55569458,-72.66320038,-1,NA,1986,"Yes, both",United States of America,B.A. or B.S.,Yes,Male,,No,Own,Lean Conservative,,,Conservative,,Yes,Married,Planner,Other,Republicans,,Closer Republicans,,,White,,Strongly agree,Catholic,,"$60,000-$74,999",6457,6455,34
R_3RsAc9iFdKnt4Zr,null,Anonymous,,0,2/3/21 15:56,2/3/21 16:08,1,,,nytcw,party,1.785,1.785,3.628,1,Yes,1,1,Yes,,White,,,,,,,,,,,,,,,,1,,1,,,,9.631,52.073,53.454,19,10,2,9,Critical threat,Support,Support,Support,Support,,Support,80,Not sure,2,5,More than 2 hours,High familiarity with the news,Sometimes,Totally disagree,"Cable TV news broadcasts (For example: CNN, Fox News, or MSNBC)",Extremely well,1,,1,Not sure,Not sure,Yes,1,,,Yes,FL_18,FL_15|FL_16,42.17529297,-71.60169983,-1,NA,1949,Only research participation opportunities,United States of America,Associate's Degree,Yes,Female,,,Rent,Strong Conservative,,,Conservative,,Yes,Never married,Retired customer service rep,Other,,,Neither,,,White,,Agree,Catholic,,"$30,000-$34,999",1560,1560,71
R_2AY9mR1zbWIkJnY,null,Anonymous,,0,2/4/21 9:44,2/4/21 9:52,1,,,nytcw,party,7.906,10.058,12.943,2,Yes,1,1,Yes,,White,,,,,,,,,,,,,,,,1,,1,,,,11.802,54.165,55.167,20,22,2,9,Critical threat,Support,Oppose,Support,Support,Oppose,Support,81,The New York Times,3,2,30-60 minutes,Complete familiarity with the news,Sometimes,Somewhat disagree,Blogs and other websites,Very well,1,,1,More likely to support the U.S.,More likely to support the U.S.,Not sure,1,,,Yes,FL_18,FL_15|FL_16,32.24479675,-111.0214005,-1,NA,1938,"Yes, both",United States of America,High school graduate,Yes,Male,,,Own,Strong Conservative,,,Conservative,,Yes,Married,Retired,Other,,,Closer Republicans,,,White,,Strongly agree,Catholic,,"$50,000-$59,999",85658,1036,82
R_2VL3K7yyczd9tWb,null,Anonymous,,0,2/3/21 15:30,2/3/21 15:43,1,,,foxcw,children,122.609,122.609,124.597,1,Yes,1,1,Yes,,White,,,,,,,,,,,,,,,,1,,,1,,,9.248,29.184,30.162,7,40,1,8,Critical threat,Support,,Support,Oppose,Support,Support,80,Fox News,2,2,More than 2 hours,High familiarity with the news,About half the time,Totally disagree,Newspapers and news magazines,Somewhat well,1,1,,More likely to support the U.S.,More likely to support the U.S.,No,1,,,Yes,FL_19,FL_16|FL_15,43.16119385,-78.69460297,-1,NA,1961,"Yes, both",United States of America,B.A. or B.S.,Yes,Female,,,Rent,,,Strong Liberal,Liberal,,Yes,Divorced,Administrative Assistant,Democrat,,Strong Democrat,,,,White,,Disagree,Atheist,,"$22,000-$24,999",14094,20814,59
R_26ljNREwIeEtXo6,null,Anonymous,,0,2/4/21 16:29,2/4/21 16:41,1,,,facebookcw,children,0,0,5.635,0,Yes,1,1,Yes,,White,,,,,,,,,,,,,,,,1,,,,1,,11.141,42.034,44.71,4,40,2,6,Important but not critical threat,,Oppose,Support,Oppose,Support,Support,62,China Daily,4,5,More than 2 hours,High familiarity with the news,Most of the time,Somewhat agree,Blogs and other websites,Not at all,1,1,,More likely to support China,More likely to support the U.S.,Yes,1,,,Yes,FL_20,FL_16|FL_15,30.13200378,-81.77259827,-1,NA,1948,"Yes, both",Panama,Master's,Yes,Female,,No,NA,NA,NA,NA,Liberal,,Yes,NA,retired,,,NA,NA,NA,NA,White,NA,NA,NA,,"$17,000-$19,999",32656,80904,72
R_PNAmVLbtzXPZoZz,null,Anonymous,,0,2/3/21 15:32,2/3/21 15:36,1,android-app://com.google.android.gm/,,nytbase,children,1.528,1.528,2.382,1,Yes,1,1,Yes,,Black,,,,,,,,,,,,,,,,1,1,,,,,3.852,18.106,18.628,9,10,2,4,Important but not critical threat,,Support,Support,Support,Support,Support,7,The New York Times,2,2,More than 2 hours,High familiarity with the news,Sometimes,Totally disagree,Blogs and other websites,Somewhat well,1,1,,More likely to support China,More likely to support China,Not sure,1,,,No,FL_17,FL_16|FL_15,41.99159241,-72.55999756,-1,NA,1993,"Yes, both",United States of America,B.A. or B.S.,Yes,Male,,,Own,,,Lean Liberal,Liberal,,Yes,Never married,Disabled Army Veteran,Republican,,,,,Lean Republican,White,,Somewhat agree,Other Christian,,"$50,000-$59,999",6082,6082,27
R_1rcPJJiZj9kflhn,null,Anonymous,,0,2/3/21 16:01,2/3/21 16:06,1,,,facebookcw,party,0,0,3.199,0,Yes,1,1,Yes,,White,,,,Native American or American Indian,,,,,,,,,,,,1,,,,1,,4.457,20.446,21.433,4,0,1,9,Critical threat,Support,Support,Support,Support,Oppose,Support,0,China Daily,1,1,More than 2 hours,High familiarity with the news,Sometimes,Totally disagree,Blogs and other websites,Not very well,1,,1,More likely to support China,More likely to support China,Yes,1,,,No,FL_20,FL_15|FL_16,38.37460327,-97.67299652,-1,NA,1952,"Yes, both",United States of America,,Yes,Male,,No,NA,Strong Conservative,NA,NA,Conservative,NA,Yes,NA,,Republican,,NA,NA,NA,Strong Republican,White,NA,NA,NA,,,67460,44047,68
R_1WZJ8gIV7OhSQpP,null,Anonymous,,0,2/4/21 1:16,2/4/21 1:24,1,,,nytbase,party,0,0,8.335,0,Yes,1,1,Yes,,White,,,,,,,,,,,,,,,,1,1,,,,,14.641,44.04,45.055,4,9,1,10,Critical threat,Support,Support,Support,Support,,Support,77,Not sure,2,1,More than 2 hours,High familiarity with the news,Sometimes,Somewhat disagree,Blogs and other websites,Extremely well,1,,1,More likely to support the U.S.,More likely to support the U.S.,Yes,1,,,Yes,FL_17,FL_15|FL_16,33.3289032,-111.865799,-1,NA,1968,"Yes, both",United States of America,High school graduate,Yes,Male,,,Some other arrangement,,Neither,,Neither,,Yes,Never married,self-employed,Other,,,Neither,Libertarians,,White,,Somewhat agree,Agnostic,,"$35,000-$39,999",85345,85302,52
R_BKaR0AtIplXtvmV,null,Anonymous,,0,2/4/21 9:22,2/4/21 9:31,1,,,foxcw,party,2.185,2.765,3.573,2,Yes,1,1,Yes,,White,,,,,,,,,,,,,,,,1,,,1,,,1.284,50.878,51.818,14,10,1,8,Critical threat,Support,Support,Support,Support,,Support,60,China Daily,3,3,More than 2 hours,High familiarity with the news,Sometimes,Somewhat disagree,Newspapers and news magazines,Somewhat well,1,,1,More likely to support China,More likely to support China,No,1,,,Yes,FL_19,FL_15|FL_16,43.14750671,-87.90499878,-1,NA,1952,"Yes, both",United States of America,B.A. or B.S.,Yes,Female,,,,,,,Neither,,Yes,,retired,Democrat,,,,,,White,,,,,"$120,000-$134,999",53217,53217,68
R_BKaR0AtIplXtvmV,null,Anonymous,,0,2/4/21 9:22,2/4/21 9:31,1,,,foxcw,party,2.185,2.765,3.573,2,Yes,1,1,Yes,,White,,,,,,,,,,,,,,,,1,,,1,,,1.284,50.878,51.818,14,10,1,8,Critical threat,Support,Support,Support,Support,,Support,60,China Daily,3,3,More than 2 hours,High familiarity with the news,Sometimes,Somewhat disagree,Newspapers and news magazines,Somewhat well,1,,1,More likely to support China,More likely to support China,No,1,,,Yes,FL_19,FL_15|FL_16,43.14750671,-87.90499878,-1,NA,1952,"Yes, both",United States of America,B.A. or B.S.,Yes,Female,,No,NA,NA,NA,NA,Liberal,,Yes,NA,retired,Other,Democrats,NA,NA,NA,NA,White,NA,NA,NA,,"$45,000-$49,999",53217,53217,68
R_2PBccxh15Bpd7XC,null,Anonymous,,0,2/3/21 16:57,2/3/21 17:09,1,,,foxcw,children,0,0,7.676,0,Yes,1,1,Yes,,White,,,,,,,,,,,,,,,,1,,,1,,,16.518,66.869,68.424,3,35,3,5,Important but not critical threat,,Oppose,Oppose,Oppose,Support,Support,70,China Daily,2,2,30-60 minutes,High familiarity with the news,Most of the time,Somewhat agree,"Facebook, Twitter and other social media",Not very well,1,1,,More likely to support the U.S.,More likely to support the U.S.,Not sure,1,,,No,FL_19,FL_16|FL_15,38.00039673,-121.3105011,-1,NA,1987,Only research participation opportunities,United States of America,Master's,Yes,Male,,No,Rent,NA,NA,Lean Liberal,Liberal,,Yes,Never married,teacher,Democrat,,Lean Democrat,NA,NA,NA,White,NA,Strongly disagree,Agnostic,,"$60,000-$74,999",95207,49307,33
R_2eX2Gc4yBjiEvcb,null,Anonymous,,0,2/3/21 18:40,2/3/21 18:44,1,,,peoplesdaily,party,11.447,11.447,12.875,1,Yes,1,1,Yes,,Other,,,,,,Other,,,,,,,,,,1,,,,,1,5.031,13.616,14.675,5,25,1,10,Critical threat,,Oppose,Support,Oppose,Support,,75,Not sure,1,1,1-2 hours,High familiarity with the news,About half the time,Neither agree nor disagree,Newspapers and news magazines,Not very well,1,,1,More likely to support the U.S.,More likely to support the U.S.,No,1,,,No,FL_21,FL_15|FL_16,41.83329773,-71.43139648,-1,NA,1982,"Yes, both",United States of America,Ph.D.,Yes,Female,,No,Own,NA,NA,Strong Liberal,Liberal,,Yes,Never married,Professor,Democrat,,Strong Democrat,NA,NA,NA,Other,Jewish,Strongly agree,Jewish,,"$75,000-$89,999",2906,10541,38
R_1jk5okC4oWpeTW4,null,Anonymous,,0,2/3/21 15:57,2/3/21 16:04,1,,,peoplesdaily,party,0,0,3.966,0,Yes,1,1,Yes,,White,,,,,,,,,,,,,,,,1,,,,,1,6.455,24.672,25.41,6,10,1,7,Critical threat,Support,,Support,Oppose,,,65,People.cn (China's People's Daily),1,1,1-2 hours,High familiarity with the news,Sometimes,Neither agree nor disagree,Blogs and other websites,Very well,1,,1,Not sure,Not sure,No,1,,,Yes,FL_21,FL_15|FL_16,42.51800537,-83.1576004,-1,NA,1991,"Yes, both",United States of America,Some high school,Yes,Male,,,Rent,NA,Neither,NA,Neither,NA,Yes,Married,IT,Other,,NA,Neither,Gay married couples defending their pot farms with automatic rifles,NA,White,NA,Disagree,Agnostic,,"$75,000-$89,999",48071,48640,29
R_qxXtnN0Ssni2SXv,null,Anonymous,,0,2/3/21 16:59,2/3/21 17:09,1,,,nytbase,party,0,0,3.589,0,Yes,1,1,Yes,,White,,,,,,,,,,,,,,,,1,1,,,,,14.383,52.158,53.728,4,50,2,6,Critical threat,Support,,Support,Support,Support,Support,65,The New York Times,3,2,Less than 30 minutes,Average familiarity with the news,Never,Totally disagree,"Cable TV news broadcasts (For example: CNN, Fox News, or MSNBC)",Somewhat well,1,,1,More likely to support the U.S.,More likely to support the U.S.,Not sure,1,,,Yes,FL_17,FL_15|FL_16,44.43710327,-88.07949829,-1,NA,1957,"Yes, both",United States of America,B.A. or B.S.,Yes,Male,,No,Own,Lean Conservative,NA,NA,Conservative,,Yes,Married,Engineer,Republican,,NA,NA,NA,Lean Republican,White,NA,Agree,Mainline Protestant,,"$90,000-$99,999",54313,49801,63
R_2sXzJYnyG8oUoBJ,null,Anonymous,,0,2/5/21 13:16,2/5/21 13:24,1,,,nytbase,party,0,0,2.174,0,Yes,1,1,Yes,,White,,,,,,,,,,,,,,,,1,1,,,,,12.155,32.057,45.848,3,5,1,7,Important but not critical threat,Oppose,Support,Support,Oppose,,Support,50,Not sure,4,3,30-60 minutes,Average familiarity with the news,About half the time,Neither agree nor disagree,"Network TV news broadcasts (For example: ABC, CBS, or NBC)",Not very well,1,,1,More likely to support the U.S.,More likely to support the U.S.,No,1,,,Yes,FL_17,FL_15|FL_16,35.4618988,-97.39320374,-1,NA,1985,"Yes, both",United States of America,High school graduate,Yes,Male,,,Rent,NA,NA,Lean Liberal,Liberal,NA,Yes,Married,Field service technician,Democrat,,Strong Democrat,NA,NA,NA,White,NA,Strongly disagree,Atheist,,"$50,000-$59,999",73110,98366,35
R_3j7he7bGrM7cLqJ,null,Anonymous,,0,2/4/21 11:00,2/4/21 11:07,1,,,facebookcw,party,3.304,3.304,5.297,1,Yes,1,1,Yes,,White,,,,,,,,,,,,,,,,1,,,,1,,6.877,31.701,33.659,14,50,3,6,Important but not critical threat,Support,Support,Support,Oppose,Support,,71,Not sure,5,4,More than 2 hours,High familiarity with the news,Sometimes,Somewhat disagree,Blogs and other websites,Not very well,1,,1,More likely to support the U.S.,More likely to support the U.S.,No,1,,,,FL_20,FL_15|FL_16,25.77409363,-80.18170166,-1,NA,1955,Only research participation opportunities,United States of America,B.A. or B.S.,Yes,Male,,No,Own,NA,NA,Strong Liberal,Liberal,,Yes,Divorced,Retired,Other,Democrats,NA,NA,NA,NA,White,NA,Strongly disagree,Atheist,Ecuador,"$15,000-$16,999",54805,54001,65
R_3R3KFTwY2U1TlfL,null,Anonymous,,0,2/3/21 15:12,2/3/21 15:22,1,,,nytbase,party,0,0,2.02,0,Yes,1,1,Yes,,Black,,,,,,,,,,,,,,,,1,1,,,,,6.555,71.895,73.101,6,49,3,7,Critical threat,,Support,Support,Oppose,Support,Support,51,The New York Times,5,4,More than 2 hours,Complete familiarity with the news,Most of the time,Neither agree nor disagree,"Cable TV news broadcasts (For example: CNN, Fox News, or MSNBC)",Not at all,1,,1,More likely to support the U.S.,More likely to support the U.S.,Yes,1,,,,FL_17,FL_15|FL_16,38.63499451,-76.88200378,-1,NA,1943,Only research participation opportunities,United States of America,Associate's Degree,Yes,Female,,No,Own,NA,NA,Lean Liberal,Liberal,,Yes,Divorced,Retired,Democrat,,Strong Democrat,NA,NA,NA,Black,NA,Strongly agree,Catholic,,"$35,000-$39,999",20774,20774,77
